scenario,ev_ebitda_multiple,enterprise_value,cash_added_to_waterfall,distributable_value,secured_recovery_pct,unsecured_guaranteed_recovery_pct,unsecured_no_guarantee_recovery_pct,equity_residual
base,3.0,22640.430000000004,2243.0,24883.430000000004,1.0,1.0,0.7543515541264751,0.0
base,4.0,30187.240000000005,2243.0,32430.240000000005,1.0,1.0,1.0,6859.240000000005
base,5.0,37734.05,2243.0,39977.05,1.0,1.0,1.0,14406.050000000003
base,6.0,45280.86000000001,2243.0,47523.86000000001,1.0,1.0,1.0,21952.860000000008
base,7.0,52827.67000000001,2243.0,55070.67000000001,1.0,1.0,1.0,29499.670000000013
downside,3.0,17570.709000000003,2243.0,19813.709000000003,1.0,0.849634492223239,0.0,0.0
downside,4.0,23427.612000000005,2243.0,25670.612000000005,1.0,1.0,1.0,99.61200000000463
downside,5.0,29284.515000000007,2243.0,31527.515000000007,1.0,1.0,1.0,5956.515000000007
downside,6.0,35141.418000000005,2243.0,37384.418000000005,1.0,1.0,1.0,11813.418000000005
downside,7.0,40998.32100000001,2243.0,43241.32100000001,1.0,1.0,1.0,17670.32100000001
severe,3.0,13652.016000000003,2243.0,15895.016000000003,1.0,0.6504531869472402,0.0,0.0
severe,4.0,18202.688000000006,2243.0,20445.688000000006,1.0,0.8817570397478909,0.0,0.0
severe,5.0,22753.360000000008,2243.0,24996.360000000008,1.0,1.0,0.794698106466598,0.0
severe,6.0,27304.032000000007,2243.0,29547.032000000007,1.0,1.0,1.0,3976.0320000000065
severe,7.0,31854.70400000001,2243.0,34097.70400000001,1.0,1.0,1.0,8526.704000000012
