metric,source_type,xbrl_tag,unit,value_raw,value_usd_millions,start,end,filed,accession,form,fy,fp,filing_table_label,source_url,source_sha256,captured_at_utc,evidence_set,ttm_bridge_role
revenue,sec_companyfacts,RevenueFromContractWithCustomerExcludingAssessedTax,USD,21593000000.0,21593.0,2022-12-01,2023-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
operating_income,sec_companyfacts,OperatingIncomeLoss,USD,1956000000.0,1956.0,2022-12-01,2023-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
depreciation_amortization,sec_filing_table,,USD,2370000000.0,2370.0,,2023-11-30,2026-01-27,0000815097-26-000007,10-K,2023,FY,Depreciation and amortization,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/ccl-20251130.htm,307743c441119288b242f47b6a848722db7ebabf24f8266ab8af90be60b00e7e,2026-09-02T11:08:55+00:00,annual_history,
interest_expense,sec_filing_table,,USD,2066000000.0,2066.0,,2023-11-30,2026-01-27,0000815097-26-000007,10-K,2023,FY,"Interest expense, net of capitalized interest",https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/ccl-20251130.htm,307743c441119288b242f47b6a848722db7ebabf24f8266ab8af90be60b00e7e,2026-09-02T11:08:55+00:00,annual_history,
cash_from_operations,sec_companyfacts,NetCashProvidedByUsedInOperatingActivities,USD,4281000000.0,4281.0,2022-12-01,2023-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
capital_expenditures,sec_companyfacts,PaymentsToAcquirePropertyPlantAndEquipment,USD,3284000000.0,3284.0,2022-12-01,2023-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
revenue,sec_companyfacts,RevenueFromContractWithCustomerExcludingAssessedTax,USD,25021000000.0,25021.0,2023-12-01,2024-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
operating_income,sec_companyfacts,OperatingIncomeLoss,USD,3574000000.0,3574.0,2023-12-01,2024-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
depreciation_amortization,sec_filing_table,,USD,2557000000.0,2557.0,,2024-11-30,2026-01-27,0000815097-26-000007,10-K,2024,FY,Depreciation and amortization,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/ccl-20251130.htm,307743c441119288b242f47b6a848722db7ebabf24f8266ab8af90be60b00e7e,2026-09-02T11:08:55+00:00,annual_history,
interest_expense,sec_filing_table,,USD,1755000000.0,1755.0,,2024-11-30,2026-01-27,0000815097-26-000007,10-K,2024,FY,"Interest expense, net of capitalized interest",https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/ccl-20251130.htm,307743c441119288b242f47b6a848722db7ebabf24f8266ab8af90be60b00e7e,2026-09-02T11:08:55+00:00,annual_history,
cash_from_operations,sec_companyfacts,NetCashProvidedByUsedInOperatingActivities,USD,5923000000.0,5923.0,2023-12-01,2024-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
capital_expenditures,sec_companyfacts,PaymentsToAcquirePropertyPlantAndEquipment,USD,4626000000.0,4626.0,2023-12-01,2024-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
revenue,sec_companyfacts,RevenueFromContractWithCustomerExcludingAssessedTax,USD,26622000000.0,26622.0,2024-12-01,2025-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
operating_income,sec_companyfacts,OperatingIncomeLoss,USD,4483000000.0,4483.0,2024-12-01,2025-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
depreciation_amortization,sec_filing_table,,USD,2790000000.0,2790.0,,2025-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,Depreciation and amortization,https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/ccl-20251130.htm,307743c441119288b242f47b6a848722db7ebabf24f8266ab8af90be60b00e7e,2026-09-02T11:08:55+00:00,annual_history,
interest_expense,sec_filing_table,,USD,1349000000.0,1349.0,,2025-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,"Interest expense, net of capitalized interest",https://www.sec.gov/Archives/edgar/data/815097/000081509726000007/ccl-20251130.htm,307743c441119288b242f47b6a848722db7ebabf24f8266ab8af90be60b00e7e,2026-09-02T11:08:55+00:00,annual_history,
cash_from_operations,sec_companyfacts,NetCashProvidedByUsedInOperatingActivities,USD,6218000000.0,6218.0,2024-12-01,2025-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
capital_expenditures,sec_companyfacts,PaymentsToAcquirePropertyPlantAndEquipment,USD,3611000000.0,3611.0,2024-12-01,2025-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,annual_history,
revenue,sec_companyfacts,RevenueFromContractWithCustomerExcludingAssessedTax,USD,26622000000.0,26622.0,2024-12-01,2025-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,ttm_bridge,latest_fy
revenue,sec_companyfacts,RevenueFromContractWithCustomerExcludingAssessedTax,USD,12828000000.0,12828.0,2025-12-01,2026-05-31,2026-06-26,0000815097-26-000096,10-Q,2026,Q2,,,,,ttm_bridge,current_ytd
revenue,sec_companyfacts,RevenueFromContractWithCustomerExcludingAssessedTax,USD,12139000000.0,12139.0,2024-12-01,2025-05-31,2026-06-26,0000815097-26-000096,10-Q,2026,Q2,,,,,ttm_bridge,prior_ytd
operating_income,sec_companyfacts,OperatingIncomeLoss,USD,4483000000.0,4483.0,2024-12-01,2025-11-30,2026-01-27,0000815097-26-000007,10-K,2025,FY,,,,,ttm_bridge,latest_fy
operating_income,sec_companyfacts,OperatingIncomeLoss,USD,1458000000.0,1458.0,2025-12-01,2026-05-31,2026-06-26,0000815097-26-000096,10-Q,2026,Q2,,,,,ttm_bridge,current_ytd
operating_income,sec_companyfacts,OperatingIncomeLoss,USD,1477000000.0,1477.0,2024-12-01,2025-05-31,2026-06-26,0000815097-26-000096,10-Q,2026,Q2,,,,,ttm_bridge,prior_ytd
